"","Round","State","Match-up"
"498",9,"West Virginia",13
"499",9,"Wisconsin",30
"500",9,"Wyoming",0
"501",10,"Alabama",27
"502",10,"Alaska",3
"503",10,"Arizona",34
"504",10,"Arkansas",18
"505",10,"California",49
"506",10,"Colorado",28
"507",10,"Connecticut",21
"508",10,"Delaware",5
"509",10,"Florida",46
"510",10,"Georgia",43
"511",10,"Hawaii",10
"512",10,"Idaho",11
"513",10,"Illinois",39
"514",10,"Indiana",35
"515",10,"Iowa",20
"516",10,"Kansas",17
"517",10,"Kentucky",24
"518",10,"Louisiana",25
"519",10,"Maine",9
"520",10,"Maryland",31
"521",10,"Massachusetts",36
"522",10,"Michigan",44
"523",10,"Minnesota",29
"524",10,"Mississippi",19
"525",10,"Missouri",32
"526",10,"Montana",6
"527",10,"Nebraska",12
"528",10,"Nevada",15
"529",10,"New Hampshire",8
"530",10,"New Jersey",41
"531",10,"New Mexico",14
"532",10,"New York",47
"533",10,"North Carolina",42
"534",10,"North Dakota",2
"535",10,"Ohio",48
"536",10,"Oklahoma",22
"537",10,"Oregon",23
"538",10,"Pennsylvania",38
"539",10,"Rhode Island",7
"540",10,"South Carolina",26
"541",10,"South Dakota",4
"542",10,"Tennessee",33
"543",10,"Texas",45
"544",10,"Utah",16
"545",10,"Vermont",1
"546",10,"Virginia",40
"547",10,"Washington",37
"548",10,"West Virginia",13
"549",10,"Wisconsin",30
"550",10,"Wyoming",0
"551",11,"Alabama",27
"552",11,"Alaska",3
"553",11,"Arizona",34
"554",11,"Arkansas",18
"555",11,"California",43
"556",11,"Colorado",28
"557",11,"Connecticut",21
"558",11,"Delaware",5
"559",11,"Florida",47
"560",11,"Georgia",44
"561",11,"Hawaii",10
"562",11,"Idaho",11
"563",11,"Illinois",39
"564",11,"Indiana",35
"565",11,"Iowa",20
"566",11,"Kansas",17
"567",11,"Kentucky",24
"568",11,"Louisiana",25
"569",11,"Maine",9
"570",11,"Maryland",31
"571",11,"Massachusetts",36
"572",11,"Michigan",45
"573",11,"Minnesota",29
"574",11,"Mississippi",19
"575",11,"Missouri",32
"576",11,"Montana",6
"577",11,"Nebraska",12
"578",11,"Nevada",15
"579",11,"New Hampshire",8
"580",11,"New Jersey",41
"581",11,"New Mexico",14
"582",11,"New York",48
"583",11,"North Carolina",42
"584",11,"North Dakota",2
"585",11,"Ohio",49
"586",11,"Oklahoma",22
"587",11,"Oregon",23
"588",11,"Pennsylvania",38
"589",11,"Rhode Island",7
"590",11,"South Carolina",26
"591",11,"South Dakota",4
"592",11,"Tennessee",33
"593",11,"Texas",46
"594",11,"Utah",16
"595",11,"Vermont",1
"596",11,"Virginia",40
"597",11,"Washington",37
"598",11,"West Virginia",13
"599",11,"Wisconsin",30
"600",11,"Wyoming",0
"601",12,"Alabama",27
"602",12,"Alaska",3
"603",12,"Arizona",34
"604",12,"Arkansas",18
"605",12,"California",44
"606",12,"Colorado",28
"607",12,"Connecticut",21
"608",12,"Delaware",5
"609",12,"Florida",48
"610",12,"Georgia",45
"611",12,"Hawaii",10
"612",12,"Idaho",11
"613",12,"Illinois",40
"614",12,"Indiana",35
"615",12,"Iowa",20
"616",12,"Kansas",17
"617",12,"Kentucky",24
"618",12,"Louisiana",25
"619",12,"Maine",9
"620",12,"Maryland",31
"621",12,"Massachusetts",36
"622",12,"Michigan",46
"623",12,"Minnesota",29
"624",12,"Mississippi",19
"625",12,"Missouri",32
"626",12,"Montana",6
"627",12,"Nebraska",12
"628",12,"Nevada",15
"629",12,"New Hampshire",8
"630",12,"New Jersey",42
"631",12,"New Mexico",14
"632",12,"New York",49
"633",12,"North Carolina",43
"634",12,"North Dakota",2
"635",12,"Ohio",37
"636",12,"Oklahoma",22
"637",12,"Oregon",23
"638",12,"Pennsylvania",39
"639",12,"Rhode Island",7
"640",12,"South Carolina",26
"641",12,"South Dakota",4
"642",12,"Tennessee",33
"643",12,"Texas",47
"644",12,"Utah",16
"645",12,"Vermont",1
"646",12,"Virginia",41
