"","Round","State","Representatives"
"587",11,"Oregon",1
"588",11,"Pennsylvania",2
"589",11,"Rhode Island",1
"590",11,"South Carolina",1
"591",11,"South Dakota",1
"592",11,"Tennessee",1
"593",11,"Texas",3
"594",11,"Utah",1
"595",11,"Vermont",1
"596",11,"Virginia",1
"597",11,"Washington",1
"598",11,"West Virginia",1
"599",11,"Wisconsin",1
"600",11,"Wyoming",1
"601",12,"Alabama",1
"602",12,"Alaska",1
"603",12,"Arizona",1
"604",12,"Arkansas",1
"605",12,"California",5
"606",12,"Colorado",1
"607",12,"Connecticut",1
"608",12,"Delaware",1
"609",12,"Florida",2
"610",12,"Georgia",1
"611",12,"Hawaii",1
"612",12,"Idaho",1
"613",12,"Illinois",2
"614",12,"Indiana",1
"615",12,"Iowa",1
"616",12,"Kansas",1
"617",12,"Kentucky",1
"618",12,"Louisiana",1
"619",12,"Maine",1
"620",12,"Maryland",1
"621",12,"Massachusetts",1
"622",12,"Michigan",1
"623",12,"Minnesota",1
"624",12,"Mississippi",1
"625",12,"Missouri",1
"626",12,"Montana",1
"627",12,"Nebraska",1
"628",12,"Nevada",1
"629",12,"New Hampshire",1
"630",12,"New Jersey",1
"631",12,"New Mexico",1
"632",12,"New York",3
"633",12,"North Carolina",1
"634",12,"North Dakota",1
"635",12,"Ohio",2
"636",12,"Oklahoma",1
"637",12,"Oregon",1
"638",12,"Pennsylvania",2
"639",12,"Rhode Island",1
"640",12,"South Carolina",1
"641",12,"South Dakota",1
"642",12,"Tennessee",1
"643",12,"Texas",3
"644",12,"Utah",1
"645",12,"Vermont",1
"646",12,"Virginia",1
"647",12,"Washington",1
"648",12,"West Virginia",1
"649",12,"Wisconsin",1
"650",12,"Wyoming",1
"651",13,"Alabama",1
"652",13,"Alaska",1
"653",13,"Arizona",1
"654",13,"Arkansas",1
"655",13,"California",5
"656",13,"Colorado",1
"657",13,"Connecticut",1
"658",13,"Delaware",1
"659",13,"Florida",3
"660",13,"Georgia",1
"661",13,"Hawaii",1
"662",13,"Idaho",1
"663",13,"Illinois",2
"664",13,"Indiana",1
"665",13,"Iowa",1
"666",13,"Kansas",1
"667",13,"Kentucky",1
"668",13,"Louisiana",1
"669",13,"Maine",1
"670",13,"Maryland",1
"671",13,"Massachusetts",1
"672",13,"Michigan",1
"673",13,"Minnesota",1
"674",13,"Mississippi",1
"675",13,"Missouri",1
"676",13,"Montana",1
"677",13,"Nebraska",1
"678",13,"Nevada",1
"679",13,"New Hampshire",1
"680",13,"New Jersey",1
